EC Numbers,Occurrence
EC 2.6.1.81,1
EC 1.8.4.11,2
EC 3.4.23.36,2
EC 2.6.1.57,2
EC 1.8.4.12,1
EC 2.6.1.52,1
EC 1.4.1.9,2
EC 1.1.1.93,1
EC 1.1.1.95,5
EC 1.1.1.94,1
EC 1.4.1.2,1
EC 1.4.1.4,1
EC 6.1.1.14,2
EC 2.1.1.80,3
EC 2.5.1.18,7
EC 2.7.4.16,1
EC 6.3.4.5,1
EC 2.5.1.15,1
EC 2.5.1.16,2
EC 2.5.1.17,2
EC 6.3.4.2,1
EC 2.7.1.71,1
EC 6.1.1.11,1
EC 4.3.3.7,1
EC 2.3.1.51,4
EC 6.2.1.5,2
EC 3.5.4.25,1
EC 6.2.1.1,3
EC 6.2.1.3,4
EC 3.6.1.31,1
EC 3.4.19.5,1
EC 1.2.1.10,1
EC 1.2.1.11,3
EC 1.2.1.12,2
EC 1.2.1.13,1
EC 6.4.1.2,2
EC 6.4.1.1,2
EC 6.4.1.4,4
EC 2.7.1.30,1
EC 2.1.1.13,1
EC 2.1.1.14,1
EC 2.4.2.22,1
EC 4.2.1.68,1
EC 4.2.1.60,1
EC 1.3.99.22,1
EC 1.-.-.-,6
EC 4.1.2.48,2
EC 3.5.1.68,1
EC 1.1.1.79,1
EC 2.6.1.16,1
EC 2.7.1.130,1
EC 2.7.7.60,1
EC 2.7.7.62,1
EC 1.1.1.76,1
EC 3.5.1.88,2
EC 4.2.1.40,1
EC 2.4.2.28,1
EC 1.17.4.1,2
EC 4.1.3.27,2
EC 4.1.2.13,1
EC 3.5.1.108,1
EC 3.1.4.14,1
EC 4.1.1.-,2
EC 3.5.99.7,1
EC 3.1.4.17,1
EC 1.8.4.8,1
EC 2.8.1.-,1
EC 4.-.-.-,1
EC 6.1.1.21,1
EC 6.1.1.20,2
EC 4.3.1.3,1
EC 4.2.1.96,1
EC 3.5.1.11,2
EC 3.5.1.10,2
EC 3.5.1.16,1
EC 6.3.4.4,1
EC 2.8.1.1,3
EC 3.5.1.18,1
EC 2.8.1.7,3
EC 2.8.1.6,1
EC 4.2.1.12,1
EC 1.2.1.2,1
EC 1.2.1.3,5
EC 1.2.1.8,1
EC 2.3.1.30,2
EC 1.1.2.4,2
EC 1.4.3.5,1
EC 3.4.11.18,2
EC 3.4.11.19,1
EC 3.1.1.17,1
EC 3.5.3.11,1
EC 2.7.1.39,1
EC 3.5.3.13,1
EC 3.5.3.12,1
EC 4.1.3.6,2
EC 2.7.1.35,1
EC 4.1.3.4,2
EC 3.5.3.19,1
EC 2.7.1.31,2
EC 4.1.1.77,1
EC 6.3.2.9,1
EC 4.1.3.-,1
EC 6.3.2.3,1
EC 6.3.2.2,1
EC 6.3.2.1,1
EC 6.3.2.6,1
EC 6.3.2.4,1
EC 3.1.3.18,2
EC 1.9.3.1,12
EC 3.1.3.11,1
EC 3.1.3.10,1
EC 3.4.13.19,1
EC 5.5.1.1,1
EC 5.4.99.5,1
EC 2.7.9.2,1
EC 2.7.9.3,1
EC 3.5.3.23,1
EC 1.14.13.-,7
EC 1.14.19.1,1
EC 2.6.1.18,3
EC 2.5.1.61,1
EC 2.1.1.51,2
EC 2.1.1.52,1
EC 2.7.1.26,1
EC 2.6.1.11,1
EC 4.3.1.7,3
EC 3.2.1.B3,1
EC 3.4.25.-,1
EC 2.6.1.17,1
EC 4.3.1.1,1
EC 2.6.99.2,1
EC 1.1.1.205,1
EC 2.3.1.61,1
EC 2.7.7.38,1
EC 2.7.1.22,1
EC 4.1.3.1,1
EC 4.2.1.24,1
EC 4.2.1.25,1
EC 4.2.1.20,2
EC 2.1.1.207,1
EC 1.3.1.76,1
EC 1.13.11.54,1
EC 6.3.1.10,1
EC 2.3.1.179,1
EC 5.4.2.10,1
EC 1.1.1.31,1
EC 1.1.1.30,1
EC 3.4.24.70,2
EC 2.3.1.191,1
EC 2.7.1.15,1
EC 2.7.1.2,1
EC 4.1.2.50,1
EC 5.3.1.22,1
EC 5.3.1.23,1
EC 5.3.1.24,1
EC 1.8.2.-,1
EC 4.2.1.59,2
EC 3.5.1.54,4
EC 3.5.1.53,1
EC 2.7.-.-,2
EC 2.4.-.-,1
EC 2.4.2.18,2
EC 2.4.2.19,1
EC 2.4.2.10,1
EC 2.4.2.11,1
EC 2.4.2.17,2
EC 2.4.2.14,1
EC 1.1.1.158,1
EC 6.3.2.8,1
EC 3.5.2.6,1
EC 3.1.4.46,2
EC 2.1.1.-,18
EC 1.2.2.2,1
EC 2.4.1.-,7
EC 4.1.1.37,1
EC 3.1.2.4,1
EC 4.1.1.31,1
EC 3.1.2.6,1
EC 3.2.1.52,1
EC 1.5.1.29,1
EC 5.1.3.20,1
EC 2.4.1.1,1
EC 2.6.1.42,1
EC 2.7.7.-,1
EC 2.6.1.48,1
EC 1.1.1.86,1
EC 2.7.7.8,1
EC 2.7.7.9,1
EC 1.1.1.81,1
EC 2.7.7.3,1
EC 2.4.1.25,1
EC 2.7.7.6,4
EC 2.7.7.7,12
EC 2.7.7.4,2
EC 2.4.1.21,1
EC 3.1.1.2,1
EC 6.2.1.26,1
EC 2.4.2.-,3
EC 2.7.1.40,1
EC 2.1.3.2,1
EC 2.1.3.3,2
EC 2.6.1.-,1
EC 3.1.22.4,1
EC 2.7.1.-,1
EC 1.3.1.34,1
EC 1.2.1.20,1
EC 1.2.1.22,1
EC 2.6.1.9,1
EC 1.2.1.27,2
EC 3.1.3.45,1
EC 1.17.1.8,1
EC 2.6.1.1,17
EC 1.4.3.16,2
EC 3.2.2.1,1
EC 3.3.2.1,2
EC 2.7.1.12,1
EC 2.7.3.9,2
EC 3.5.2.2,1
EC 5.-.-.-,1
EC 3.2.1.93,1
EC 2.7.3.-,10
EC 2.6.1.62,3
EC 2.4.1.129,4
EC 1.4.1.13,11
EC 2.4.2.21,1
EC 2.7.8.5,1
EC 3.1.26.5,1
EC 3.1.26.4,2
EC 3.1.26.3,2
EC 2.3.1.39,1
EC 4.2.1.19,1
EC 4.2.1.18,1
EC 4.2.1.17,8
EC 2.3.1.31,2
EC 2.1.1.152,1
EC 2.3.1.35,1
EC 4.2.1.11,1
EC 4.2.1.10,1
EC 2.3.1.8,2
EC 2.3.1.129,1
EC 1.3.99.1,3
EC 2.3.1.1,1
EC 1.3.99.3,2
EC 1.3.99.2,8
EC 1.3.99.4,1
EC 1.3.99.7,1
EC 1.1.1.69,1
EC 2.3.3.9,1
EC 2.3.1.-,6
EC 1.13.11.3,2
EC 1.1.1.60,2
EC 2.3.3.1,1
EC 2.4.1.227,1
EC 2.3.3.5,1
EC 5.3.1.1,1
EC 2.3.3.13,1
EC 5.3.1.6,1
EC 4.1.3.38,1
EC 4.1.3.39,1
EC 5.3.1.9,1
EC 5.3.1.8,1
EC 4.1.3.30,1
EC 1.10.3.-,4
EC 2.1.2.11,1
EC 2.1.2.10,2
EC 2.1.2.13,1
EC 5.3.1.-,1
EC 5.3.1.13,1
EC 3.1.4.-,1
EC 5.3.1.16,1
EC 2.1.1.45,1
EC 4.2.1.82,1
EC 4.2.1.83,1
EC 2.8.3.16,3
EC 5.1.3.2,2
EC 1.6.5.5,1
EC 3.11.1.1,1
EC 6.3.1.5,1
EC 6.3.1.2,1
EC 1.14.12.17,3
EC 1.1.1.169,1
EC 4.1.3.40,1
EC 1.14.12.10,3
EC 4.1.1.49,1
EC 4.1.1.48,1
EC 4.1.1.44,2
EC 1.18.1.2,2
EC 1.13.12.2,1
EC 1.13.12.3,1
EC 5.3.3.4,1
EC 2.7.4.25,1
EC 1.6.1.2,3
EC 2.7.11.1,1
EC 1.6.1.1,1
EC 3.5.3.3,1
EC 3.5.3.4,1
EC 3.5.3.6,1
EC 3.6.1.41,1
EC 3.5.3.8,1
EC 3.5.1.2,1
EC 3.5.1.1,3
EC 3.5.1.6,1
EC 3.5.1.5,6
EC 3.5.1.4,3
EC 2.5.1.78,2
EC 1.5.1.3,2
EC 6.3.5.3,1
EC 6.3.5.4,1
EC 6.3.5.5,2
EC 6.3.5.6,6
EC 3.2.2.4,1
EC 2.1.1.61,1
EC 3.4.13.9,1
EC 2.1.1.63,2
EC 3.7.1.-,1
EC 2.1.1.64,2
EC 2.1.1.67,1
EC 2.4.1.18,1
EC 3.4.11.2,1
EC 3.1.26.12,1
EC 1.5.3.1,4
EC 3.4.11.1,1
EC 3.4.11.5,1
EC 3.4.11.9,2
EC 3.4.23.43,1
EC 3.2.2.-,2
EC 2.7.7.42,1
EC 2.7.7.41,1
EC 6.1.1.9,1
EC 6.1.1.6,1
EC 6.1.1.7,1
EC 6.1.1.4,1
EC 6.1.1.5,1
EC 6.1.1.2,1
EC 6.1.1.3,1
EC 2.7.7.49,1
EC 6.1.1.1,1
EC 5.4.2.2,1
EC 2.4.1.182,1
EC 3.1.3.73,1
EC 1.2.1.70,1
EC 5.4.2.8,1
EC 3.1.3.77,1
EC 2.3.1.12,1
EC 2.3.1.168,1
EC 6.2.1.16,2
EC 1.1.1.25,3
EC 1.1.1.22,1
EC 1.1.1.23,1
EC 3.2.2.23,1
EC 3.2.2.20,2
EC 3.2.2.21,1
EC 1.1.1.28,1
EC 1.8.1.8,2
EC 1.8.1.9,3
EC 3.4.21.83,1
EC 1.17.7.1,1
EC 3.4.19.3,1
EC 1.8.1.7,2
EC 3.4.21.88,1
EC 3.4.21.89,1
EC 1.8.1.2,1
EC 2.3.1.180,2
EC 1.1.1.267,1
EC 1.1.1.262,1
EC 4.3.1.18,1
EC 6.5.1.2,1
EC 4.2.1.41,1
EC 4.2.1.42,1
EC 1.4.4.2,1
EC 1.5.5.1,1
EC 1.20.4.1,4
EC 4.2.1.46,1
EC 4.2.1.49,1
EC 3.5.1.46,1
EC 3.5.1.47,1
EC 2.3.1.117,1
EC 3.4.17.13,1
EC 3.6.1.8,1
EC 5.1.3.13,1
EC 3.5.4.4,1
EC 1.8.1.4,2
EC 5.1.3.14,1
EC 2.1.1.182,1
EC 1.3.3.1,1
EC 1.3.3.3,1
EC 1.17.1.4,2
EC 1.17.1.2,1
EC 1.3.1.9,4
EC 3.6.3.-,2
EC 1.3.1.2,1
EC 3.2.1.21,1
EC 4.99.1.1,1
EC 3.5.4.19,1
EC 1.18.1.1,1
EC 3.5.4.10,1
EC 3.5.4.13,1
EC 4.1.1.47,1
EC 3.5.4.16,3
EC 3.4.99.-,2
EC 2.6.1.37,1
EC 5.1.1.17,1
EC 4.3.2.1,1
EC 4.6.1.12,1
EC 1.1.99.25,2
EC 3.6.1.n1,1
EC 1.1.1.133,2
EC 6.3.5.2,1
EC 2.5.1.31,1
EC 3.6.3.12,3
EC 3.6.3.14,6
EC 1.1.1.40,1
EC 2.5.1.39,1
EC 4.3.1.19,2
EC 6.3.3.2,1
EC 6.3.3.3,1
EC 6.3.3.1,1
EC 6.1.1.18,1
EC 1.3.1.25,1
EC 4.1.1.36,1
EC 3.6.1.13,1
EC 3.6.1.11,1
EC 3.6.1.17,1
EC 1.5.99.8,1
EC 1.5.99.3,1
EC 1.2.1.38,1
EC 1.1.1.49,2
EC 1.14.13.82,1
EC 2.1.1.33,1
EC 2.1.1.31,1
EC 2.5.1.47,2
EC 2.1.1.34,1
EC 2.1.1.35,1
EC 2.5.1.49,3
EC 2.7.7.18,1
EC 2.7.7.19,1
EC 3.6.1.15,1
EC 2.7.1.148,1
EC 4.2.3.5,1
EC 4.2.3.4,1
EC 4.2.3.1,1
EC 4.2.3.3,1
EC 1.3.-.-,1
EC 1.3.1.54,1
EC 3.6.1.54,1
EC 1.13.11.32,1
EC 1.2.1.41,1
EC 5.1.1.8,1
EC 2.5.1.75,1
EC 2.-.-.-,1
EC 1.1.99.3,3
EC 1.1.99.1,2
EC 1.1.1.50,1
EC 2.5.1.-,1
EC 4.2.1.3,2
EC 4.2.1.2,3
EC 4.2.1.1,5
EC 4.2.1.109,1
EC 4.2.1.9,1
EC 3.4.21.53,3
EC 2.7.1.56,1
EC 4.2.1.-,3
EC 1.1.1.290,1
EC 1.15.1.1,2
EC 1.14.13.2,1
EC 2.1.1.130,1
EC 2.1.1.133,1
EC 3.5.1.30,1
EC 2.4.2.29,1
EC 1.1.1.1,4
EC 1.1.1.3,1
EC 1.1.1.-,5
EC 1.6.99.3,2
EC 3.1.1.31,2
EC 4.6.1.1,3
EC 1.14.16.1,1
EC 2.4.2.1,1
EC 4.1.1.50,1
EC 2.6.1.85,2
EC 2.4.2.4,1
EC 2.7.1.13,1
EC 2.4.2.7,1
EC 2.4.2.8,1
EC 2.4.2.9,2
EC 1.1.5.3,1
EC 1.1.5.2,3
EC 1.1.5.4,2
EC 3.4.16.4,2
EC 1.1.5.-,1
EC 1.4.99.1,4
EC 4.1.2.-,1
EC 3.1.11.6,2
EC 3.1.2.-,2
EC 6.3.4.19,1
EC 2.7.8.8,2
EC 2.5.1.90,2
EC 1.14.14.5,1
EC 6.3.4.13,1
EC 6.3.4.15,1
EC 6.3.4.14,2
EC 4.3.1.17,2
EC 2.7.8.-,5
EC 1.5.1.5,1
EC 2.4.1.12,2
EC 1.2.4.4,2
EC 1.2.4.2,1
EC 1.2.4.1,1
EC 2.1.1.79,2
EC 2.1.1.77,1
EC 2.4.99.12,1
EC 2.1.1.72,1
EC 2.7.4.22,1
EC 2.5.1.72,1
EC 1.1.1.85,1
EC 2.7.13.3,7
EC 2.7.1.69,2
EC 2.7.8.13,1
EC 2.7.7.56,1
EC 2.3.1.41,4
EC 3.5.4.3,2
EC 3.5.4.1,1
EC 2.7.7.59,1
EC 2.3.1.47,1
EC 3.5.4.5,1
EC 1.3.1.12,1
EC 3.5.4.-,1
EC 3.6.1.23,1
EC 3.6.1.22,1
EC 3.4.11.-,1
EC 3.6.1.27,1
EC 1.11.1.15,2
EC 4.4.1.11,1
EC 1.1.1.17,1
EC 3.7.1.2,1
EC 4.1.1.81,1
EC 3.4.21.92,1
EC 4.2.1.75,2
EC 4.2.1.70,9
EC 6.3.2.29,1
EC 4.2.1.79,2
EC 3.2.-.-,1
EC 3.1.-.-,2
EC 2.7.8.26,1
EC 1.6.5.3,12
EC 2.7.1.107,1
EC 2.3.1.109,2
EC 1.11.1.6,6
EC 2.1.2.1,3
EC 2.1.2.2,1
EC 2.1.2.9,1
EC 3.5.1.96,1
EC 3.5.1.94,1
EC 4.1.3.16,1
EC 1.10.2.2,2
EC 4.1.1.19,1
EC 2.1.2.-,1
EC 4.1.1.17,1
EC 4.1.1.15,1
EC 3.6.-.-,1
EC 3.1.1.-,1
EC 3.1.3.8,1
EC 3.1.3.5,4
EC 3.1.3.7,1
EC 3.1.3.1,1
EC 3.1.3.3,5
EC 3.1.3.-,1
EC 6.1.1.15,1
EC 6.1.1.16,1
EC 6.1.1.17,1
EC 6.1.1.10,1
EC 3.5.4.28,1
EC 6.1.1.12,1
EC 1.3.3.11,1
EC 3.1.1.5,2
EC 3.5.4.26,1
EC 3.1.1.3,3
EC 6.1.1.19,1
EC 3.5.4.22,2
EC 3.5.2.17,2
EC 2.7.4.7,1
EC 2.7.4.6,1
EC 2.7.4.1,1
EC 2.7.4.3,1
EC 1.1.1.100,10
EC 2.7.4.9,2
EC 2.7.4.8,1
EC 3.1.1.61,3
EC 2.4.99.-,1
EC 6.3.2.-,1
EC 3.6.3.25,1
EC 1.11.1.5,1
EC 2.7.1.24,1
EC 2.7.1.23,1
EC 5.4.2.1,1
EC 4.1.1.65,1
EC 4.1.99.3,1
EC 1.5.1.2,1
EC 1.5.1.20,1
EC 1.5.1.21,1
EC 2.7.6.5,2
EC 3.5.2.7,1
EC 2.7.6.3,2
EC 3.4.13.22,1
EC 2.7.6.1,1
EC 3.5.2.3,2
EC 3.2.1.-,8
EC 3.2.1.4,1
EC 3.1.3.25,1
EC 3.6.4.13,2
EC 2.7.1.33,1
EC 3.3.1.1,1
EC 2.7.2.3,1
EC 2.7.2.2,1
EC 1.2.1.71,1
EC 2.7.2.4,1
EC 2.7.2.8,1
EC 2.2.1.1,1
EC 5.2.1.8,12
EC 2.2.1.2,1
EC 2.5.1.54,3
EC 2.5.1.55,1
EC 2.2.1.7,1
EC 2.2.1.6,3
EC 5.2.1.2,1
EC 4.4.1.5,1
EC 1.14.-.-,1
EC 2.7.2.11,1
EC 5.4.1.2,1
EC 2.7.7.24,2
EC 2.7.7.21,1
EC 2.7.7.23,1
EC 2.7.7.22,1
EC 4.1.99.12,2
EC 4.2.1.33,2
EC 2.3.1.16,8
EC 4.1.99.17,1
EC 1.3.99.13,2
EC 2.3.1.15,1
EC 1.13.11.27,2
EC 5.4.3.8,1
EC 5.1.1.1,2
EC 1.14.11.17,4
EC 5.1.1.3,1
EC 5.1.1.7,1
EC 1.4.3.19,1
EC 3.6.1.1,1
EC 3.4.24.-,5
EC 1.1.1.42,1
EC 1.1.1.43,1
EC 5.1.3.1,1
EC 3.6.1.-,7
EC 1.1.1.44,1
EC 3.1.2.12,1
EC 3.6.3.3,5
EC 5.1.3.8,1
EC 3.1.21.1,2
EC 3.6.3.4,1
EC 3.1.21.3,1
EC 1.13.11.5,1
EC 1.13.11.1,1
EC 4.2.99.18,1
EC 3.4.21.102,1
EC 1.2.1.26,5
EC 2.8.3.5,4
EC 1.13.11.8,1
EC 2.8.3.6,4
EC 2.5.1.6,1
EC 2.5.1.7,1
EC 2.5.1.3,1
EC 4.1.2.25,1
EC 3.1.11.1,1
EC 3.1.11.2,2
EC 3.1.11.5,3
EC 1.1.1.284,1
EC 2.5.1.9,2
EC 2.3.2.6,1
EC 3.5.1.28,4
EC 2.3.2.2,2
EC 5.99.1.3,2
EC 5.99.1.2,2
EC 6.3.2.13,1
EC 6.3.2.12,1
EC 6.3.2.10,1
EC 3.5.1.24,1
EC 2.3.2.8,1
EC 1.7.3.3,2
EC 3.1.13.-,1
EC 1.4.7.1,1
EC 5.99.1.-,2
EC 3.1.5.1,1
EC 1.16.3.1,1
EC 3.1.3.12,1
EC 1.3.8.1,1
EC 1.3.8.7,5
EC 1.3.8.4,2
EC 3.6.3.2,2
EC 1.1.99.14,3
EC 3.1.1.29,1
EC 3.1.1.24,1
EC 5.5.1.2,1
EC 6.3.5.10,1
EC 1.6.4.-,2
EC 1.7.1.13,1
EC 4.1.1.23,1
EC 4.1.1.21,2
EC 4.1.1.20,2
EC 4.3.2.2,1
